timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
50,fair_1,fair,0,4,10913.25,1.0,3.0,2.25,0.75,1.25,0.75,913.25,208.5,,
50,max_1,max,0,4,10908.25,5.0,15.0,0.0,0.0,-5.0,15.0,908.25,1285.5,,
50,rnd_1,random,0,4,10908.75,1.0,3.0,1.5,0.5,0.5,1.5,908.75,971.25,,
51,fair_1,fair,0,4,10915.0,5.0,15.0,11.25,0.75,6.25,3.75,915.0,212.25,,
51,max_1,max,0,4,10910.0,5.0,15.0,0.0,0.0,-5.0,15.0,910.0,1300.5,,
51,rnd_1,random,0,4,10920.0,5.0,15.0,15.0,1.0,10.0,0.0,920.0,971.25,,
52,fair_1,fair,0,4,10932.5,10.0,30.0,22.5,0.75,12.5,7.5,932.5,219.75,,
52,max_1,max,0,4,10927.5,5.0,15.0,0.0,0.0,-5.0,15.0,927.5,1315.5,,
52,rnd_1,random,0,4,10930.0,5.0,15.0,7.5,0.5,2.5,7.5,930.0,978.75,,
53,fair_1,fair,0,4,10931.25,1.0,3.0,2.25,0.75,1.25,0.75,931.25,220.5,,
53,max_1,max,0,4,10926.25,5.0,15.0,0.0,0.0,-5.0,15.0,926.25,1330.5,,
53,rnd_1,random,0,4,10936.25,5.0,15.0,15.0,1.0,10.0,0.0,936.25,978.75,,
54,fair_1,fair,0,4,10942.5,5.0,15.0,11.25,0.75,6.25,3.75,942.5,224.25,,
54,max_1,max,0,4,10937.5,5.0,15.0,0.0,0.0,-5.0,15.0,937.5,1345.5,,
54,rnd_1,random,0,4,10936.25,5.0,15.0,3.75,0.25,-1.25,11.25,936.25,990.0,,
55,fair_1,fair,0,4,10937.5,1.0,3.0,2.25,0.75,1.25,0.75,937.5,225.0,,
55,max_1,max,0,4,10936.5,1.0,3.0,0.0,0.0,-1.0,3.0,936.5,1348.5,,
55,rnd_1,random,0,4,10926.5,10.0,30.0,0.0,0.0,-10.0,30.0,926.5,1020.0,,
56,fair_1,fair,0,4,10939.0,10.0,30.0,22.5,0.75,12.5,7.5,939.0,232.5,,
56,max_1,max,0,4,10924.0,15.0,45.0,0.0,0.0,-15.0,45.0,924.0,1393.5,,
56,rnd_1,random,0,4,10919.0,5.0,15.0,0.0,0.0,-5.0,15.0,919.0,1035.0,,
57,fair_1,fair,0,4,10931.5,10.0,30.0,22.5,0.75,12.5,7.5,931.5,240.0,,
57,max_1,max,0,4,10926.5,5.0,15.0,0.0,0.0,-5.0,15.0,926.5,1408.5,,
57,rnd_1,random,0,4,10926.25,1.0,3.0,0.75,0.25,-0.25,2.25,926.25,1037.25,,
58,fair_1,fair,0,4,10938.75,10.0,30.0,22.5,0.75,12.5,7.5,938.75,247.5,,
58,max_1,max,0,4,10933.75,5.0,15.0,0.0,0.0,-5.0,15.0,933.75,1423.5,,
58,rnd_1,random,0,4,10936.25,5.0,15.0,7.5,0.5,2.5,7.5,936.25,1044.75,,
59,fair_1,fair,0,4,10942.5,5.0,15.0,11.25,0.75,6.25,3.75,942.5,251.25,,
59,max_1,max,0,4,10927.5,15.0,45.0,0.0,0.0,-15.0,45.0,927.5,1468.5,,
59,rnd_1,random,0,4,10922.5,5.0,15.0,0.0,0.0,-5.0,15.0,922.5,1059.75,,
60,fair_1,fair,0,4,10928.75,5.0,15.0,11.25,0.75,6.25,3.75,928.75,255.0,,
60,max_1,max,0,4,10913.75,15.0,45.0,0.0,0.0,-15.0,45.0,913.75,1513.5,,
60,rnd_1,random,0,4,10912.5,5.0,15.0,3.75,0.25,-1.25,11.25,912.5,1071.0,,
61,fair_1,fair,0,4,10918.75,5.0,15.0,11.25,0.75,6.25,3.75,918.75,258.75,,
61,max_1,max,0,4,10913.75,5.0,15.0,0.0,0.0,-5.0,15.0,913.75,1528.5,,
61,rnd_1,random,0,4,10903.75,10.0,30.0,0.0,0.0,-10.0,30.0,903.75,1101.0,,
62,fair_1,fair,0,4,10916.25,10.0,30.0,22.5,0.75,12.5,7.5,916.25,266.25,,
62,max_1,max,0,4,10915.25,1.0,3.0,0.0,0.0,-1.0,3.0,915.25,1531.5,,
62,rnd_1,random,0,4,10921.5,5.0,15.0,11.25,0.75,6.25,3.75,921.5,1104.75,,
63,fair_1,fair,0,4,10927.75,5.0,15.0,11.25,0.75,6.25,3.75,927.75,270.0,,
63,max_1,max,0,4,10907.75,20.0,60.0,0.0,0.0,-20.0,60.0,907.75,1591.5,,
63,rnd_1,random,0,4,10910.25,5.0,15.0,7.5,0.5,2.5,7.5,910.25,1112.25,,
64,fair_1,fair,0,4,10916.5,5.0,15.0,11.25,0.75,6.25,3.75,916.5,273.75,,
64,max_1,max,0,4,10911.5,5.0,15.0,0.0,0.0,-5.0,15.0,911.5,1606.5,,
64,rnd_1,random,0,4,10924.0,10.0,30.0,22.5,0.75,12.5,7.5,924.0,1119.75,,
65,fair_1,fair,0,4,10930.25,5.0,15.0,11.25,0.75,6.25,3.75,930.25,277.5,,
65,max_1,max,0,4,10925.25,5.0,15.0,0.0,0.0,-5.0,15.0,925.25,1621.5,,
65,rnd_1,random,0,4,10930.25,10.0,30.0,15.0,0.5,5.0,15.0,930.25,1134.75,,
66,fair_1,fair,0,4,10936.5,5.0,15.0,11.25,0.75,6.25,3.75,936.5,281.25,,
66,max_1,max,0,4,10926.5,10.0,30.0,0.0,0.0,-10.0,30.0,926.5,1651.5,,
66,rnd_1,random,0,4,10924.0,10.0,30.0,7.5,0.25,-2.5,22.5,924.0,1157.25,,
67,fair_1,fair,0,4,10930.25,5.0,15.0,11.25,0.75,6.25,3.75,930.25,285.0,,
67,max_1,max,0,4,10925.25,5.0,15.0,0.0,0.0,-5.0,15.0,925.25,1666.5,,
67,rnd_1,random,0,4,10932.75,15.0,45.0,22.5,0.5,7.5,22.5,932.75,1179.75,,
68,fair_1,fair,0,4,10939.0,5.0,15.0,11.25,0.75,6.25,3.75,939.0,288.75,,
68,max_1,max,0,4,10934.0,5.0,15.0,0.0,0.0,-5.0,15.0,934.0,1681.5,,
