timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
1,1,a2,fair,0,0,4,11.25,-12.5,-8.75,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,48.75,7
2,0,a1,max,0,0,4,1.25,-27.5,-18.75,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,78.75,7
2,1,a2,fair,0,0,4,23.75,-15.0,3.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,56.25,7
3,0,a1,max,0,0,4,-18.75,-35.0,-38.75,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,138.75,7
3,1,a2,fair,0,0,4,36.25,-22.5,16.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,63.75,7
4,0,a1,max,0,0,4,-23.75,-27.5,-43.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,153.75,7
4,1,a2,fair,0,0,4,61.25,-2.5,41.25,20.0,20.0,60.0,45.0,0.75,25.0,15.0,78.75,7
5,0,a1,max,0,0,4,-38.75,-17.5,-58.75,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,198.75,7
5,1,a2,fair,0,0,4,73.75,-5.0,53.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,86.25,7
6,0,a1,max,0,0,4,-58.75,-25.0,-78.75,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,258.75,7
6,1,a2,fair,0,0,4,92.5,-6.25,72.5,15.0,15.0,45.0,33.75,0.75,18.75,11.25,97.5,7
7,0,a1,max,0,0,4,-78.75,-26.25,-98.75,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,318.75,7
7,1,a2,fair,0,0,4,111.25,-7.5,91.25,15.0,15.0,45.0,33.75,0.75,18.75,11.25,108.75,7
8,0,a1,max,0,0,4,-98.75,-27.5,-118.75,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,378.75,7
8,1,a2,fair,0,0,4,123.75,-15.0,103.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,116.25,7
9,0,a1,max,0,0,4,-118.75,-35.0,-138.75,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,438.75,7
9,1,a2,fair,0,0,4,142.5,-16.25,122.5,15.0,15.0,45.0,33.75,0.75,18.75,11.25,127.5,7
0,0,a1,max,0,0,4,10.0,-10.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,8
0,1,a2,fair,0,0,4,15.0,-15.0,-5.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,15.0,8
1,0,a1,max,0,0,4,-5.0,-30.0,-25.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,75.0,8
1,1,a2,fair,0,0,4,15.0,-30.0,-5.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,15.0,8
